Lead ID,Business Name,Business Type,Country,City,Address,Phone Number,Email,Website Available,Website URL,Owner/Manager Name,Social Media Links,Order Method,Delivery System,Automation Status,Google Rating,Reviews Count,Lead Priority,Notes,Call Status,Follow-up Date,Week Number
0,ABC Mart,Convenience Store,United Kingdom,London,"45 High Street, Camden, London NW1 7JR",+44 20 7946 0958,info@abcmart.co.uk,Yes,www.abcmart.co.uk,Ahmed Khan,instagram.com/abcmartlondon,WhatsApp Orders,Own Delivery Team,Semi Automated,4.3,128,High,"Owner very responsive, prefers WhatsApp contact after 5pm",Contacted – Interested,2026-07-22,30
1,Greenvalley,Supermarket,Pakistan,Lahore,"Lower Ground Floor, Mall of lahore, Tufail Rd, Cantt, Lahore, 54810, Pakistan",3111444172,care@greenvalley.pk,Yes,https://lhr.greenvalley.pk/,unknown,https://www.instagram.com/greenvalleyofficial,Website + Delivery,Own Delivery Team,Automated,4.3,3527,Low,"Online ordering and delivery available, bussiness already well automated",Not Contacted,N/A,week1
2,Aslam Supermarket,Grocery Store,Pakistan,Lahore,"chowk, Main raiwind Lda, Avenue 1, Block B Lda Avenue Phase 1 Lda Avenue, Lahore, Pakistan",3041111964,nan,No,nan,unknown,nan,Walk-in Only,No Delivery,Manual,4.3,1121,High,wide variety of goods under the same roof,Not Contacted,N/A,week1
3,metro,Supermarket,Pakistan,Lahore,"Main Airport Rd, near Divine Gardens, Block B DHA, Lahore, 54792, Pakistan",42111063876,nan,Yes,https://www.metro.pk/store-locator/airport,Mr.Aqeel Asif Malik,https://www.instagram.com/metro_pk,Website + Delivery,Own Delivery Team,Automated,4.2,3920,Low,large retail chain with online ordering and delivery services,Not Contacted,N/A,week1
4,Esajee's,Supermarket,Pakistan,Lahore,"2 Mian Mehmood Ali Kasoori Rd, Block B3 Block B 3 Gulberg III, Lahore, 54000, Pakistan",4235873507,esajee@esajee.com,Yes,https://www.esajee.com/,unknown,https://www.instagram.com/metro_pk,Multiple Methods,Own Delivery Team,Automated,4.1,1144,Low,"prenium grocery store with online ordering, whatsapp ordering and home delivery available",Not Contacted,N/A,week1
5,ANF mart,Grocery Store,Pakistan,Lahore,"F965+8F3 Shaukat Town, Ghazi Rd, Nishtar Town, Lahore, Pakistan",3224034977,anfmart@hotmail.com,No,nan,unknown,https://www.instagram.com/anf_mart,WhatsApp Orders,Own Delivery Team,Semi Automated,4.2,1267,Medium,no website relies on social media/ phone for customer orders,Not Contacted,N/A,week1
6,Jalal sons,Grocery Store,Pakistan,Lahore,"12-E Zanjani Rd, inside Jalal Son's, Main Market, Lahore, 54000, Pakistan",3204435000,Info@Jalalsons.com.pk,Yes,https://www.jalalsons.com.pk/,unknown,https://www.instagram.com/jalalsonsofficial,Multiple Methods,Own Delivery Team,Automated,4.4,6049,Low,"well established supermarket with website, mobile app and home delivery",Not Contacted,N/A,Week1
7,rahim store,Departmental Store,Pakistan,Lahore,"Moon market, 7 Street 7, Sutlej Block Satluj Block Allama Iqbal Town, Lahore, 54000, Pakistan",4237801525,nan,No,https://www.rahimstore.com/,unknown,https://www.instagram.com/rahimstore1979,Multiple Methods,Own Delivery Team,Automated,4.4,12776,Low,Established grocery store wit online shopping website and home delivery,Not Contacted,N/A,Week1
8,Resto Mart,Supermarket,Pakistan,Lahore,"12 G, Gulberg Center, Main Blvd Gulberg, Block D1 Gulberg III, Lahore, 54660, Pakistan",3211655556,restomart.lhr@gmail.com,Yes,https://www.restomart.pk/,Ali Bahadur,https://www.facebook.com/restomart.lhr,Website + Delivery,Own Delivery Team,Automated,4.9,198,Low,online grocery store with website ordering and home delivery across lahore,Not Contacted,N/A,Week1
9,SB store,Supermarket,Pakistan,Faisalabad,"Lasani Pulli, Faisalabad, 38000, Pakistan",3088555247,info@sbstore.pk,Yes,https://www.sbstore.com.pk/,unknown,https://www.instagram.com/sbstore_fsd,Multiple Methods,Own Delivery Team,Automated,4.0,1357,Low,"online grocery store with website, mobile app, whatsapp support and home delivery",Not Contacted,N/A,Week1
10,city emporium cash & carry,Supermarket,Pakistan,Faisalabad,"266 b, 1 Chen One Rd, Block C People's Colony No 1, Faisalabad, 38000, Pakistan",3219944770,nan,No,nan,unknown,nan,Walk-in Only,No Delivery,Manual,4.3,262,High,no website orders handles manually,Not Contacted,N/A,Week1
11,A-fateh super mall,Grocery Store,Pakistan,Faisalabad,"C4MF+997, W Canal Rd, Canal Expy, near Mansoorabad, near Toyota Faisalabad Motors, Mansoorabad, Faisalabad, 38000, Pakistan",042-111-933-933,info@alfatah.pk,Yes,https://alfatah.pk/,unknown,https://www.instagram.com/alfatahofficial,Website + Delivery,Own Delivery Team,Automated,4.3,366,Low,"Large retail chain with online ordering, WhatsApp support, and home delivery.",Not Contacted,N/A,Week1
12,AI-Rizq Supermarket,Supermarket,Pakistan,Faisalabad,"F37J+9GM, Canal Block Shadman Town, Faisalabad, Pakistan",3405170000,nan,No,nan,unknown,https://www.instagram.com/alrizq.official,Walk-in + Phone,Unknown,Semi Automated,4.5,61,Medium,No website; relies on Instagram/WhatsApp for customer orders.,Not Contacted,N/A,Week1
13,City super mart,Grocery Store,Pakistan,Faisalabad,"Chak 208 Rd, Eden Valley, Faisalabad, Pakistan",416071364,nan,No,nan,unknown,http://www.facebook.com/citysupermartofficial,Walk-in + Phone,Own Delivery Team,Semi Automated,4.1,1026,Medium,No website; accepts phone orders and provides home delivery.,Not Contacted,N/A,Week1
14,Imtiaz Mega-Misaq ul mall,Supermarket,Pakistan,Faisalabad,"Misaq-ul-Mall, Lahore - Sheikhupura - Faisalabad Rd, near Nishatabad, Ashrafabad, Faisalabad, 38000, Pakistan",21111468429,hello@imtiaz.com.pk,Yes,http://imtiaz.com.pk/,unknown,https://www.facebook.com/imtiazstores,Website + Delivery,Own Delivery Team,Automated,4.4,12960,Low,"Large retail chain with online shopping, mobile app, and home delivery.",Not Contacted,N/A,Week1
15,Royal mart,Grocery Store,Pakistan,Faisalabad,"C574+8J5, Royal Blvd, Royal Villas Faisalabad, Pakistan",unkown,nan,No,nan,unknown,nan,Walk-in Only,Unknown,Manual,4.6,25,High,No website or online ordering found; appears to operate manually.,Not Contacted,N/A,Week1
