Lead ID,Business Name,Business Type,Country,City,Address,Phone Number,Email,Website Available,Website URL,Owner/Manager Name,Social Media Links,Order Method,Delivery System,Automation Status,Google Rating,Reviews Count,Lead Priority,Notes,Call Status,Follow-up Date,Week Number,Assigned To
1,Nihow Asian Supermarket,Asian Grocery Store,United Kingdom,Bristol,"6 Baldwin St, Bristol BS1 1SA",+44 7737 027926,Not Available,No,N/A,Not Available,N/A,Walk-in + Delivery,Third-party Delivery,Semi Automated,5.0,268,High,On Uber Eats but no official website,Not Contacted,N/A,30,Haifa
2,Wah Yan Hong,Asian Grocery Store,United Kingdom,Bristol,"13 Denmark St, Bristol BS1 5DQ",+44 117 929 7269,wahyanhong@hotmail.co.uk,Yes,wahyanhong.co.uk,Not Available,instagram.com/wahyanhong,Walk-in + Website,Unknown,Semi Automated,4.4,290,High,Independent oriental supermarket,Not Contacted,N/A,30,Haifa
3,Wai Yee Hong Chinese Supermarket,Asian Grocery Store,United Kingdom,Bristol,"Eastgate Oriental City, Eastgate Rd, Bristol",+44 117 952 4240,Not Available,Yes,waiyeehong.com,Not Available,facebook.com/waiyeehong,Website Orders,Own Delivery Team,Automated,4.6,701,Medium,Large Chinese supermarket,Not Contacted,N/A,30,Haifa
4,Super Mashriq Mini Mart,Mini Mart,United Kingdom,Bristol,"30 Ashley Rd, Bristol",+44 117 924 8137,Not Available,No,N/A,Not Available,N/A,Walk-in Only,No Delivery,Manual,5.0,14,High,Small family-run mini mart; fully manual,Not Contacted,N/A,30,Haifa
5,Clifton Mini Market,Convenience Store,United Kingdom,Bristol,"60 Alma Vale Rd, Clifton, Bristol",+44 117 973 1444,Not Available,No,N/A,Not Available,N/A,Walk-in Only,No Delivery,Manual,4.0,63,High,Convenience store + parcel point,Not Contacted,N/A,30,Haifa
6,Matter Wholefoods,Organic Food Store,United Kingdom,Bristol,"1 Greenbank Rd, Greenbank, Bristol",+44 117 902 1915,MatterBristol@gmail.com,Yes,matterwholefoods.uk,Not Available,instagram.com/matterwholefoods,Walk-in + Delivery,Own Delivery Team,Semi Automated,4.7,174,High,Independent organic shop,Not Contacted,N/A,30,Haifa
7,Better Food,Organic Food Store,United Kingdom,Bristol,"94A Whiteladies Rd, Redland, Bristol",+44 117 946 6957,Not Available,Yes,betterfood.co.uk,Not Available,instagram.com/betterfood,Website Orders,Third-party Delivery,Automated,4.1,344,Medium,Multi-store organic retailer,Not Contacted,N/A,30,Haifa
8,Tesco Superstore,Supermarket,United Kingdom,Bristol,"Lime Trees Rd, Bristol BS6 7AA",+44 345 677 9084,customer.service@tesco.com,Yes,tesco.com,Not Available,instagram.com/tesco,Website + Mobile,Own Delivery Team,Automated,4.1,372,Low,National chain; fully automated,Not Contacted,N/A,30,Haifa
9,Hippo Box Supermarket,Supermarket,United Arab Emirates,Dubai,"The Dubai Mall (China Town), Dubai",+971 50 110 4711,info@hippoboxsupermarket.com,No,N/A,Not Available,instagram.com/hippobox,Walk-in + Delivery,Own Delivery Team,Semi Automated,4.9,874,Low,High-end Asian supermarket,Not Contacted,N/A,30,Haifa
10,QKO Asian Market,Asian Grocery Store,United Arab Emirates,Dubai,"Boxpark, Al Wasl Rd, Dubai",+971 50 977 5303,Not Available,Not Available,N/A,Not Available,instagram.com/qkoasianmarket,Walk-in + Delivery,Third-party Delivery,Semi Automated,4.3,514,Medium,Asian snack market at Boxpark,Not Contacted,N/A,30,Haifa
11,Wemart Hypermarket,Supermarket,United Arab Emirates,Dubai,"62 Al Maktoum Rd, Port Saeed, Dubai",+971 55 942 7519,wecare@wemart.com,Yes,wemart.com,Not Available,instagram.com/wemart.uae,Website Orders,Own Delivery Team,Automated,4.3,2409,Low,Large Asian hypermarket chain,Not Contacted,N/A,30,Haifa
12,Baqer Mohebi Supermarket,Supermarket,United Arab Emirates,Dubai,"Al Rolla Rd, Al Raffa, Bur Dubai",+971 4 325 2222,info@bm-smkt.com,Yes,bm-smkt.com,Not Available,instagram.com/bagermohebi,Walk-in + Delivery,Unknown,Semi Automated,4.2,8390,Low,Established 1931 chain,Not Contacted,N/A,30,Haifa
13,Al Maya Supermarket (Marsa),Supermarket,United Arab Emirates,Dubai,"Dream Tower 1, Al Marsa St, Dubai",+971 4 432 7191,Not Available,Yes,almaya.ae,Not Available,instagram.com/almaya_uae,Website + Delivery,Own Delivery Team,Automated,4.1,1778,Low,50+ store chain with free 24h delivery,Not Contacted,N/A,30,Haifa
14,FRESQ Mini Mart,Mini Mart,United Arab Emirates,Dubai,"Haven Heights, Al Jaddaf, Dubai",+971 55 690 0112,Not Available,No,N/A,Not Available,N/A,Walk-in Only,Unknown,Manual,5.0,11,High,New modern mini mart; manual,Not Contacted,N/A,30,Haifa
15,Organic Foods & Café,Organic Food Store,United Arab Emirates,Dubai,"Sheikh Zayed Rd (next to Oasis Centre), Dubai",+971 4 338 2911,Not Available,Yes,organicfoodsandcafe.com,Not Available,instagram.com/organicfoodsandcafe,Website + Mobile,Own Delivery Team,Automated,4.3,2350,Medium,Premium organic chain,Not Contacted,N/A,30,Haifa
