Lead ID,Business Name,Business Type,Country,City,Address,Phone Number,Email,Website Available,Website URL,Owner/Manager Name,Social Media Links,Order Method,Delivery System,Automation Status,Google Rating,Reviews Count,Lead Priority,Notes,Call Status,Follow-up Date,Week Number
0,ABC Mart,Convenience Store,United Kingdom,London,"45 High Street, Camden, London NW1 7JR",+44 20 7946 0958,info@abcmart.co.uk,Yes,www.abcmart.co.uk,Ahmed Khan,instagram.com/abcmartlondon,WhatsApp Orders,Own Delivery Team,Semi Automated,4.3,128,High,"Owner very responsive, prefers WhatsApp contact after 5pm",Contacted – Interested,2026-07-22,30
1,F-7 Markaz (Jinnah Super Market),Supermarket,Pakistan,Islamabad,"Shop#11, A block, 12-C, F-7, Islamabad",92 17 5666179,Not found,No,N/A,Multiple,,Multiple Methods,Unknown,Semi Automated,4.4,50520,,"No (individual shops, no unified site)",Not Contacted,,52
2,METRO Islamabad Store,Grocery Store,Pakistan,Islamabad,"Plot 1-A, I-11, 4 Laila Rd, Islamabad",92 51 4020073,Not found,Yes,metro-pakistan.com.pk,Azfar Ali,facebook.com/MetroPakistan,Multiple Methods,Own Delivery Team,Automated,4.3,14057,,"Big chain, already has app and online delivery",Not Contacted,,52
3,Esajee's,Departmental Store,Pakistan,Islamabad,"Shop #9, Kohsar Market, F-6/3, Islamabad",92 51 2874352,orders@esajee.com,Yes,esajeepakistan.com,Esajee Family,"facebook.com/Esajeecom, instagram.com/Esajeecom",Website Orders,Third-party Delivery,Semi Automated,4.3,1630,,"Nice supermarket, takes orders online and via foodpanda. Already semi-automated",Not Contacted,,52
4,Al Fatah – F11 Islamabad,Supermarket,Pakistan,Islamabad,"Aura Square, Major Rd, F-11 Markaz, Islamabad",92 42 111933933,Not found,Yes,alfatahislamabad.com.pk,Unknown,(brand-wide FB/IG present),Website Orders,Own Delivery Team,Semi Automated,4.2,1192,,"National chain, has its own ordering website. Already automated",Not Contacted,,52
5,Islamabad Cash & Carry (ICC),Supermarket,Pakistan,Islamabad,"Melody Market, near GPO, G-6 Markaz, Islamabad",92 34 0502623,iccg6melody@gmail.com,No,N/A,Unknown,instagram.com/islamabad_cashncarry,Phone Orders,Own Delivery Team,Manual,4.3,741,,"Has an active Instagram page, offers free delivery, but still takes orders by phone/walk-in. Good lead",Not Contacted,,52
6,Sauda Sulf Grocery Store,Convenience Store,Pakistan,Islamabad,"Lower Ground Floor, F-11 Markaz, Islamabad",92 51 2215407,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,4.2,110,,"Small local shop, no online presence. Fully manual",Not Contacted,,52
7,Haseeb Mini Mart,Mini Mart,Pakistan,Rawalpindi,"Momin Pura Mohan Pura, Rawalpindi",92 31 5501950,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,5.0,7,,"Small neighborhood shop, no online presence. Manual",Not Contacted,,52
8,Safari Mart,Grocery Store,Pakistan,Rawalpindi,"Moti Bazar, near PSO Pump, Rawalpindi",92 34 0000944,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,5.0,73,,"Old-style grocery shop in a bazar area. Manual orders",Not Contacted,,52
9,Zia Mini Mart,Mini Mart,Pakistan,Rawalpindi,"Lane No. 5, Westridge 1, Rawalpindi",92 13 5004497,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,4.8,6,,"Small mart in a residential area. Manual, basic setup",Not Contacted,,52
10,Ejaz Mini Mart,Mini Mart,Pakistan,Rawalpindi,"Lawyer Colony Rd, Rawalpindi",92 49 3522127,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,5.0,2,,"Local shop, nothing online. Simple walk-in store",Not Contacted,,52
11,Sarhad Mini Mart,Mini Mart,Pakistan,Rawalpindi,"Dhok Paracha, Rawalpindi",92 12 5120050,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,4.6,18,,Small local shop. Fully manual,Not Contacted,,52
12,Saladin Supermarket,Supermarket,Pakistan,Rawalpindi,"46/C Satellite Town, Chandni Chowk Flyover, Rawalpindi",Not listed,Not found,No,N/A,Unknown,not found,Walk-in + Phone,Unknown,Manual,4.3,789,,Website Orders (savemart.pk) + WhatsApp,Not Contacted,,52
13,Save Mart Lalazar,Grocery Store,Pakistan,Rawalpindi,"37-J Tulsa Rd, Lalazar, Rawalpindi",92 51 5156707,Not found,No,N/A,Unknown,"facebook.com/savemart.official1, instagram.com/savemart_official",WhatsApp + Delivery,Own Delivery Team,Semi Automated,4.2,3404,,"Has 3 branches, own website, takes WhatsApp orders. Already semi-automated",Not Contacted,,52
14,C-Mart Askari 14,Convenience Store,Pakistan,Rawalpindi,"Sector B Mall, Askari 14, Rawalpindi",92 51 5156707,Not found,No,N/A,Unknown,not found,Walk-in Only,Unknown,Manual,4.0,1039,,located in a well-organized area.,Not Contacted,,52
15,Shaheen Cash & Carry,Grocery Store,Pakistan,Rawalpindi,"Avalon Plaza, Mall Rd, Saddar, Rawalpindi",92 51 5112267,Not found,No,N/A,Mr. Tariq Mehmood,not found,Walk-in + Phone,Unknown,Manual,3.9,108,,"Located in an old market area, moderate reviews. Mostly walk-in customers",Not Contacted,,52
