Lead ID,Business Name,Business Type,Country,City,Address,Phone Number,Email,Website Available,Website URL,Owner/Manager Name,Social Media Links,Order Method,Delivery System,Automation Status,Google Rating,Reviews Count,Lead Priority,Notes,Call Status,Follow-up Date,Week Number
0,ABC Mart,Convenience Store,United Kingdom,London,"45 High Street, Camden, London NW1 7JR",+44 20 7946 0958,info@abcmart.co.uk,Yes,www.abcmart.co.uk,Ahmed Khan,instagram.com/abcmartlondon,WhatsApp Orders,Own Delivery Team,Semi Automated,4.3,128,High,"Owner very responsive, prefers WhatsApp contact after 5pm",Contacted – Interested,2026-07-22,30
1,Manchester Superstore Ltd,Supermarket,United Kingdom,Manchester,"382–386 Cheetham Hill Rd, Manchester M8 9LS",4.41317E+11,N/A,Yes,https://www.manchestersuperstore.com (verify if required),N/A,Facebook (search),Walk-in + Phone,Unknown,Semi Automated,1.6,7,Medium,Asian supermarket,Not Contacted,—,Week 1
2,Manchester Superstores,Supermarket,United Kingdom,Manchester,"536–538 Stockport Rd, Manchester M12 4JJ",44 161 224 3441,N/A,Yes,Available,N/A,N/A,Walk-in + Phone,Unknown,Semi Automated,N/A,0,Medium,Local supermarket,Not Contacted,—,Week 1
3,SPAR Afflecks,Convenience Store,United Kingdom,Manchester,"89 Piccadilly, Manchester M1 2DA",44 161 236 2280,N/A,Yes,https://www.spar.co.uk,N/A,Facebook,Walk-in,No Delivery,Semi Automated,4.3,7,Medium,24-hour convenience store,Not Contacted,—,Week 1
4,Morrisons (Grafton St),Supermarket,United Kingdom,Manchester,"Grafton House, 60 Grafton St, Manchester M13 9NU",Available on website,N/A,Yes,https://my.morrisons.com,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.2,N/A,High,Online ordering available,Not Contacted,—,Week 1
5,Sainsbury's Deansgate,Supermarket,United Kingdom,Manchester,"340 Deansgate, Manchester M3 4LY",Available on website,N/A,Yes,https://www.sainsburys.co.uk,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.3,N/A,High,National supermarket chain,Not Contacted,—,Week 1
6,Sainsbury's Leeds Headrow Superstore,Supermarket,United Kingdom,Leeds,"22–26 The Headrow, Leeds LS1 8EQ",44 113 208 3820,N/A,Yes,https://www.sainsburys.co.uk,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.2,N/A,High,Online ordering & home delivery available,Not Contacted,—,Week 1
7,Hang Sing Hong,Asian Grocery Store,United Kingdom,Leeds,"117–119 Vicar Lane, Leeds LS1 6PJ",44 113 243 0500,N/A,Yes,https://www.hangsinghong.com,N/A,Facebook,Walk-in + Phone,No Delivery,Semi Automated,4.5,N/A,High,Popular Asian grocery store,Not Contacted,—,Week 1
8,Sing-Kee Oriental Supermarket,Asian Grocery Store,United Kingdom,Leeds,"26–28 Woodhouse Lane, Leeds LS2 8LX",44 113 246 0388,N/A,Yes,https://www.singkeefoods.co.uk,N/A,Facebook,Walk-in + Phone,Unknown,Semi Automated,4.4,N/A,Medium,Oriental supermarket,Not Contacted,—,Week 1
9,Asda Superstore Middleton,Supermarket,United Kingdom,Leeds,"Holme Well Road, Leeds LS10 4TQ",44 113 397 9119,N/A,Yes,https://www.asda.com,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,3.5,4,High,Grocery delivery available,Not Contacted,—,Week 1
10,Morrisons Merrion Centre,Supermarket,United Kingdom,Leeds,"43 Merrion Centre, Leeds LS2 8PL",44 113 242 2575,N/A,Yes,https://www.morrisons.com,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.1,N/A,High,National supermarket chain,Not Contacted,—,Week 1
11,Tesco Express Briggate,Convenience Store,United Kingdom,Leeds,"17–21 Briggate, Leeds LS1 6EQ",44 345 026 9343,N/A,Yes,https://www.tesco.com,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.2,120+,High,Tesco Express branch,Not Contacted,—,Week 1
12,Co-op Food Leeds City Centre,Convenience Store,United Kingdom,Leeds,"65 Albion St, Leeds LS1 5AA",44 113 245 1320,N/A,Yes,https://www.coop.co.uk,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.1,90+,Medium,Co-op convenience store,Not Contacted,—,Week 1
13,Iceland Foods Leeds,Supermarket,United Kingdom,Leeds,"52-54 The Headrow, Leeds LS1 8TL",44 113 242 6476,N/A,Yes,https://www.iceland.co.uk,N/A,Facebook,Walk-in + Website,Own Delivery,Automated,4.3,200+,High,Frozen & grocery retailer,Not Contacted,—,Week 1
14,Heron Foods Leeds,Discount Supermarket,United Kingdom,Leeds,"94 Kirkgate, Leeds LS2 7DJ",44 800 032 2424,N/A,Yes,https://www.heronfoods.com,N/A,Facebook,Walk-in,No Delivery,Semi Automated,4.1,70+,Medium,Discount grocery chain,Not Contacted,—,Week 1
15,ALDI Leeds Kirkstall Road,Supermarket,United Kingdom,Leeds,"Kirkstall Road, Leeds LS4 2DG",44 800 042 0800,N/A,Yes,https://www.aldi.co.uk,N/A,Facebook,Walk-in + Website,No Delivery,Automated,4.5,800+,High,Large supermarket with online services,Not Contacted,—,Week 1
